conv_id	turn	fresh	reused	kv_xfer_ms	kv_xfer_dur	kv_bw_gbps	kv_prep_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-073	0	7915	2028	3.913	3.912	648.173	0.392	185.867	121.435	-64.432
aa-rwlt-coding-agent-073	1	421	9943	3.383	3.382	42.317	0.335	132.772	60.675	-72.097
aa-rwlt-coding-agent-073	2	2344	9943	3.896	3.895	194.214	0.379	138.569	83.038	-55.531
aa-rwlt-coding-agent-073	3	1315	12287	4.648	4.647	92.398	0.413	129.766	75.312	-54.454
aa-rwlt-coding-agent-073	4	1053	13602	5.161	5.16	65.378	0.436	149.996	77.668	-72.328
aa-rwlt-coding-agent-073	5	469	14655	5.134	5.133	29.878	0.442	162.88	70.598	-92.282
aa-rwlt-coding-agent-073	6	4724	10364	4.918	4.917	309.821	0.451	168.861	112.915	-55.946
aa-rwlt-coding-agent-073	7	1541	15124	6.127	6.125	81.783	0.49	146.45	95.691	-50.759
aa-rwlt-coding-agent-073	8	155	16665	6.103	6.102	10.052	0.475	126.689	75.483	-51.206
aa-rwlt-coding-agent-073	9	180	16820	5.666	5.664	12.634	0.475	128.539	75.426	-53.113
aa-rwlt-coding-agent-073	10	95	17000	5.672	5.671	7.211	0.477	129.002	78.468	-50.535
aa-rwlt-coding-agent-073	11	621	17095	6.463	6.462	31.641	0.493	132.141	81.45	-50.691
aa-rwlt-coding-agent-073	12	374	17716	6.791	6.79	19.573	0.509	131.791	81.315	-50.476
aa-rwlt-coding-agent-073	13	191	18090	6.685	6.684	10.707	0.505	128.327	82.142	-46.185
aa-rwlt-coding-agent-073	14	692	18281	7.474	7.473	30.099	0.525	131.798	86.976	-44.823
aa-rwlt-coding-agent-073	15	1231	18973	9.101	9.1	43.818	0.558	145.007	99.787	-45.22
aa-rwlt-coding-agent-073	16	312	20204	9.207	9.206	12.215	0.567	136.817	90.635	-46.182
aa-rwlt-coding-agent-073	17	105	20516	8.945	8.944	4.572	0.563	137.046	90.796	-46.249
aa-rwlt-coding-agent-073	18	72	20621	9.044	9.043	3.392	0.57	136.579	89.52	-47.059
aa-rwlt-coding-agent-073	19	360	20693	9.73	9.728	12.611	0.594	139.487	94.469	-45.019
aa-rwlt-coding-agent-073	20	77	21053	9.866	9.865	3.109	0.577	137.856	98.17	-39.686
aa-rwlt-coding-agent-073	21	1322	21130	12.122	12.121	35.426	0.623	151.485	121.799	-29.686
aa-rwlt-coding-agent-073	22	465	22452	13.093	13.092	12.495	0.642	189.604	101.778	-87.826
aa-rwlt-coding-agent-073	23	1497	22917	15.605	15.604	30.794	0.683	206.883	124.707	-82.175
aa-rwlt-coding-agent-073	24	300	24414	15.827	15.826	6.46	0.671	139.134	106.275	-32.859
aa-rwlt-coding-agent-073	25	1391	24714	18.023	18.022	24.961	0.712	166.455	133.981	-32.474
