conv_id	turn	fresh	reused	reuse_pct	kv_mb	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms
aa-rwlt-coding-agent-051	29	68	48749	99.861	20.719	94.815	109.06	72.242	205.379	133.137
aa-rwlt-coding-agent-051	30	498	48817	98.99	17.062	95.97	110.968	77.659	210.952	133.293
aa-rwlt-coding-agent-051	31	437	49315	99.122	28.031	99.471	114.211	76.412	223.252	146.84
aa-rwlt-coding-agent-051	32	683	49752	98.646	20.719	101.108	116.352	94.198	225.4	131.202
aa-rwlt-coding-agent-051	33	537	50435	98.946	23.156	103.576	118.82	87.695	227.68	139.985
aa-rwlt-coding-agent-051	34	564	50972	98.906	109.688	116.972	132.54	89.594	305.774	216.18
aa-rwlt-coding-agent-051	35	2864	51536	94.735	3.656	116.76	132.549	151.011	231.082	80.071
aa-rwlt-coding-agent-051	36	69	54400	99.873	24.375	119.507	135.368	78.575	250.683	172.108
aa-rwlt-coding-agent-051	37	611	54469	98.891	36.562	124.064	140.191	101.08	262.722	161.642
aa-rwlt-coding-agent-051	38	926	55080	98.347	129.188	142.644	159.727	98.791	365.089	266.298
aa-rwlt-coding-agent-051	39	3359	56006	94.342	6.094	143.837	161.318	184.129	271.452	87.323
aa-rwlt-coding-agent-051	40	126	59365	99.788	29.25	147.333	164.981	84.049	291.081	207.032
aa-rwlt-coding-agent-051	41	754	59491	98.748	8.531	148.524	165.873	103.02	277.958	174.938
aa-rwlt-coding-agent-051	42	172	60245	99.715	10.969	148.63	166.487	85.0	282.479	197.479
aa-rwlt-coding-agent-051	43	262	60417	99.568	3.656	148.915	166.739	87.724	273.689	185.965
aa-rwlt-coding-agent-051	44	72	60679	99.881	6.094	149.39	166.989	83.616	275.706	192.09
aa-rwlt-coding-agent-051	45	126	60751	99.793	4.875	148.866	167.596	86.043	276.779	190.736
aa-rwlt-coding-agent-051	46	87	60877	99.857	302.25	4.739	10.146	85.989	114.398	28.409
aa-rwlt-coding-agent-056	0	9576	0	0.0	13.406	12.267	18.537	322.878	287.317	-35.561
aa-rwlt-coding-agent-056	1	313	9576	96.835	2.438	4.967	11.943	151.012	318.437	167.425
aa-rwlt-coding-agent-056	2	55	9889	99.447	132.844	20.1	26.26	162.14	314.858	152.718
aa-rwlt-coding-agent-056	3	3457	9944	74.203	123.094	27.846	34.927	178.376	131.83	-46.546
aa-rwlt-coding-agent-056	4	3194	13401	80.753	592.312	156.589	168.109	86.771	454.583	367.812
aa-rwlt-coding-agent-056	5	15518	16595	51.677	19.5	45.616	57.059	269.497	138.327	-131.17
aa-rwlt-coding-agent-056	6	480	32113	98.527	118.219	84.102	95.315	70.851	224.302	153.451
aa-rwlt-coding-agent-056	7	3057	32593	91.425	704.438	390.237	406.399	114.322	873.335	759.013
aa-rwlt-coding-agent-056	8	18482	35650	65.858	26.812	355.778	372.429	441.682	490.524	48.842
aa-rwlt-coding-agent-056	9	675	54132	98.768	3.656	356.98	372.693	97.037	467.792	370.755
aa-rwlt-coding-agent-056	10	67	54807	99.878	4.875	357.968	373.731	76.514	470.082	393.568
aa-rwlt-coding-agent-056	11	92	54874	99.833	12.188	325.577	341.425	76.057	445.169	369.112
aa-rwlt-coding-agent-056	12	269	54966	99.513	8.531	325.617	341.523	82.996	448.078	365.082
aa-rwlt-coding-agent-056	13	202	55235	99.636	17.062	294.82	310.807	83.875	411.248	327.373
aa-rwlt-coding-agent-056	14	406	55437	99.273	9.75	261.231	277.36	80.884	381.267	300.383
