conv	turn	fresh	reused_tok	num_total_blk	num_new_blk	num_reused_blk	num_missed_blk	kv_size_bytes	kv_xfer_ms	wait_ms	ttft_agg_ms	ttft_disagg_ms	delta_ttft_ms	xfer_prep_ms	xfer_preproc_ms	xfer_transmissions_ms	xfer_postproc_ms
aa-rwlt-coding-agent-011	38	205	43072	7	7	1347	6	8945664	82.438	95.894	72.113	184.772	112.659				
aa-rwlt-coding-agent-011	39	464	43277	15	15	1353	14	19169280	85.205	99.344	78.72	191.255	112.535				
aa-rwlt-coding-agent-011	40	552	43741	18	18	1367	18	23003136	85.969	99.463	82.144	201.018	118.874				
aa-rwlt-coding-agent-011	41	331	44293	11	11	1385	10	14057472	88.34	102.079	75.022	193.495	118.473				
aa-rwlt-coding-agent-011	42	441	44624	15	15	1395	14	19169280	89.689	103.46	88.463	204.444	115.981				
aa-rwlt-coding-agent-011	43	666	45065	22	22	1409	21	28114944	92.864	107.175	86.947	212.267	125.32				
aa-rwlt-coding-agent-011	44	173	45731	6	6	1430	5	7667712	94.076	108.074	76.234	201.353	125.119				
aa-rwlt-coding-agent-011	45	762	45904	25	25	1435	24	31948800	98.137	112.068	89.526	223.407	133.881				
aa-rwlt-coding-agent-011	46	693	46666	22	22	1459	21	28114944	104.219	119.513	92.708	228.382	135.674				
aa-rwlt-coding-agent-011	47	294	47359	10	10	1481	9	12779520	101.838	116.349	78.027	213.131	135.104				
aa-rwlt-coding-agent-011	48	243	47653	8	8	1490	7	10223616	102.848	118.107	79.957	218.684	138.727				
aa-rwlt-coding-agent-011	49	274	47896	10	10	1497	9	12779520	104.201	118.686	79.949	216.017	136.068				
aa-rwlt-coding-agent-011	50	389	48170	13	13	1506	12	16613376	106.092	120.818	96.592	221.715	125.123				
aa-rwlt-coding-agent-011	51	268	48559	9	9	1518	8	11501568	107.312	122.044	86.976	220.617	133.641				
aa-rwlt-coding-agent-011	52	225	48827	7	7	1527	6	8945664	107.873	122.564	81.436	224.417	142.981				
aa-rwlt-coding-agent-011	53	128	49052	4	4	1534	3	5111808	109.541	124.384	81.384	223.747	142.363				
aa-rwlt-coding-agent-011	54	247	49180	8	8	1537	8	10223616	110.792	125.481	81.67	231.147	149.477				
aa-rwlt-coding-agent-011	55	159	49427	6	6	1545	5	7667712	110.466	126.778	82.504	232.409	149.905				
aa-rwlt-coding-agent-011	56	1	49585	1	1	1550	0	1277952	111.011	127.235	79.837	227.306	147.469				
aa-rwlt-coding-agent-011	57	1172	49586	38	38	1550	37	48562176	116.801	132.277	110.188	262.793	152.605				
aa-rwlt-coding-agent-011	58	1081	50758	34	34	1587	33	43450368	123.108	138.73	112.113	274.147	162.034				
aa-rwlt-coding-agent-011	59	329	51839	11	11	1621	10	14057472	123.409	139.069	85.599	246.48	160.881				
aa-rwlt-coding-agent-011	60	947	52168	30	30	1631	29	38338560	128.983	145.687	102.204	270.139	167.935				
aa-rwlt-coding-agent-011	61	350	53115	11	11	1661	10	14057472	129.856	146.094	88.593	259.346	170.753				
aa-rwlt-coding-agent-011	62	767	53465	25	25	1671	24	31948800	133.912	150.276	103.318	274.77	171.452				
aa-rwlt-coding-agent-051	0	7455	2109	234	234	66	233	299040768	5.471	10.832	87.226	106.358	19.132				
aa-rwlt-coding-agent-051	1	8311	9564	261	261	299	260	333545472	13.049	20.388	127.755	157.961	30.206				
aa-rwlt-coding-agent-051	2	376	17875	13	13	559	12	16613376	11.71	19.028	42.328	71.098	28.77				
aa-rwlt-coding-agent-051	3	810	18251	26	26	571	25	33226752	11.169	18.704	46.015	81.387	35.372				
aa-rwlt-coding-agent-051	4	1314	19061	42	42	596	41	53673984	13.348	21.153	66.148	86.406	20.258				
aa-rwlt-coding-agent-051	5	549	20375	18	18	637	17	23003136	13.782	21.734	45.816	80.156	34.34				
aa-rwlt-coding-agent-051	6	533	20924	18	18	654	17	23003136	14.42	22.455	47.683	80.449	32.766				
aa-rwlt-coding-agent-051	7	6958	21457	218	218	671	217	278593536	30.946	40.917	145.995	200.631	54.636				
aa-rwlt-coding-agent-051	8	1290	28415	41	41	889	40	52396032	39.252	49.984	69.061	154.582	85.521				
aa-rwlt-coding-agent-051	9	533	29705	17	17	929	16	21725184	40.468	51.072	57.048	123.197	66.149				
aa-rwlt-coding-agent-051	10	207	30238	7	7	946	6	8945664	40.323	50.69	53.578	119.283	65.705				
aa-rwlt-coding-agent-051	11	381	30445	13	13	952	12	16613376	40.559	51.004	55.212	118.56	63.348				
aa-rwlt-coding-agent-051	12	401	30826	13	13	964	12	16613376	41.332	51.883	58.671	120.31	61.639				
aa-rwlt-coding-agent-051	13	1102	31227	35	35	977	34	44728320	44.184	55.189	71.56	141.181	69.621				
aa-rwlt-coding-agent-051	14	1640	32329	52	52	1011	51	66453504	49.973	61.162	92.698	165.7	73.002				
aa-rwlt-coding-agent-051	15	3584	33969	113	113	1062	112	144408576	61.954	74.563	130.07	214.072	84.002				
aa-rwlt-coding-agent-051	16	315	37553	11	11	1174	10	14057472	62.591	75.011	61.793	151.809	90.016				
aa-rwlt-coding-agent-051	17	2982	37868	94	94	1184	93	120127488	74.128	87.547	121.327	224.705	103.378				
aa-rwlt-coding-agent-051	18	384	40850	13	13	1277	12	16613376	75.305	88.902	64.92	170.487	105.567				
aa-rwlt-coding-agent-051	19	2413	41234	76	76	1289	75	97124352	85.435	99.449	114.553	232.143	117.59				
aa-rwlt-coding-agent-051	20	127	43647	4	4	1365	3	5111808	84.674	99.988	66.579	182.212	115.633				
aa-rwlt-coding-agent-051	21	400	43774	13	13	1369	12	16613376	86.959	101.093	69.185	188.772	119.587				
aa-rwlt-coding-agent-051	22	968	44174	31	31	1381	30	39616512	90.745	105.113	86.673	204.455	117.782				
aa-rwlt-coding-agent-051	23	89	45142	4	4	1411	3	5111808	90.772	104.959	68.438	188.688	120.25				
aa-rwlt-coding-agent-051	24	152	45231	6	6	1414	5	7667712	92.523	108.319	69.165	195.23	126.065				
aa-rwlt-coding-agent-051	25	56	45383	2	2	1419	1	2555904	92.309	106.873	68.992	191.284	122.292				
aa-rwlt-coding-agent-051	26	217	45439	7	7	1421	6	8945664	92.586	107.414	70.571	195.002	124.431				
aa-rwlt-coding-agent-051	27	91	45656	4	4	1427	3	5111808	92.775	107.266	68.529	196.645	128.116				
aa-rwlt-coding-agent-051	28	3002	45747	95	95	1430	94	121405440	107.762	123.613	137.481	279.353	141.872				
aa-rwlt-coding-agent-051	29	68	48749	3	3	1524	2	3833856	107.268	123.16	76.598	213.671	137.073				
aa-rwlt-coding-agent-051	30	498	48817	17	17	1526	16	21725184	110.528	125.088	76.841	221.865	145.024				
aa-rwlt-coding-agent-051	31	437	49315	14	14	1542	13	17891328	112.066	126.691	76.314	226.848	150.534				
aa-rwlt-coding-agent-051	32	683	49752	23	23	1555	22	29392896	116.179	131.285	89.723	239.974	150.251				
aa-rwlt-coding-agent-051	33	537	50435	17	17	1577	16	21725184	117.779	132.89	88.337	240.25	151.913				
aa-rwlt-coding-agent-051	34	564	50972	19	19	1593	18	24281088	120.433	135.603	89.205	245.286	156.081				
aa-rwlt-coding-agent-051	35	2864	51536	90	90	1611	89	115015680	134.751	150.691	152.955	322.399	169.444				
aa-rwlt-coding-agent-051	36	69	54400	3	3	1701	2	3833856	134.876	159.304	84.999	257.886	172.887				
aa-rwlt-coding-agent-051	37	611	54469	20	20	1703	19	25559040	138.384	154.215	94.862	271.352	176.49				
aa-rwlt-coding-agent-051	38	926	55080	30	30	1722	29	38338560	143.814	160.247	99.572	280.639	181.067				
aa-rwlt-coding-agent-051	39	3359	56006	106	106	1751	105	135462912	162.077	178.947	183.973	383.898	199.925				
